;Nome;07:00;07:30;08:00;08:30;09:00;09:30;10:00;10:30;11:00;11:30;12:00;12:30;13:00;13:30;14:00;14:30;15:00;15:30;16:00;16:30;17:00;17:30;18:00;18:30;19:00;19:30;Nome
01/08/2021;unimed;;;;;;;;;;;;;;;;;;;;;;;;;;;unimed 2
02/08/2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/08/2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/08/2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/08/2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06/08/2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07/08/2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08/08/2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/08/2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/08/2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/08/2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/08/2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13/08/2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14/08/2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15/08/2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/08/2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17/08/2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18/08/2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19/08/2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20/08/2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21/08/2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22/08/2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23/08/2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24/08/2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25/08/2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26/08/2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27/08/2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28/08/2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29/08/2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/08/2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/08/2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
